ticker;weight;name;date;nominal;start_price;end_price;nb_shares;P&L (EUR);asset_name;sector;industry
ENGI.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;14.098623275756836;22.40999984741211;2.7280350506048774;22.673726606251787;Engie SA;Utilities;Utilities - Diversified
ORA.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;9.102657318115234;14.199999809265137;4.225308843055746;21.53784630393949;Orange S.A.;Communication Services;Telecom Services
BNP.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;53.809326171875;80.79000091552734;0.7147745790141754;19.2851004314125;BNP Paribas SA;Financial Services;Banks - Regional
ACA.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;12.441537857055664;17.549999237060547;3.0913813793305827;15.792202387176506;Crédit Agricole S.A.;Financial Services;Banks - Regional
LR.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;92.1445541381836;127.25;0.4174043579814817;14.65316609160514;Legrand SA;Industrials;Electrical Equipment & Parts
KER.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;230.12176513671875;299.8027038574219;0.16713559640344247;11.646165251036445;Kering SA;Consumer Cyclical;Luxury Goods
DG.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;95.7994384765625;120.05000305175781;0.4014797902072055;9.736111578055704;Vinci SA;Industrials;Engineering & Construction
BN.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;63.30030059814453;76.77999877929688;0.6076043572953553;8.19032334989444;Danone S.A.;Consumer Defensive;Packaged Foods
VIE.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;25.91947364807129;29.719999313354492;1.483885783475406;5.639546004447155;Veolia Environnement SA;Industrials;Waste Management
CA.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;12.620407104492188;14.229999542236328;3.0475671777535736;4.9053410828294055;Carrefour SA;Consumer Defensive;Grocery Stores
OR.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;335.7657165527344;366.6000061035156;0.11454873611403309;3.5320288970161293;L'Oréal S.A.;Consumer Defensive;Household & Personal Products
AC.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;45.772186279296875;48.220001220703125;0.8402818739496143;2.0568545260467093;Accor SA;Consumer Cyclical;Lodging
AI.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;154.14547729492188;160.25999450683594;0.24951454390031247;1.5256609733013475;L'Air Liquide S.A.;Basic Materials;Specialty Chemicals
MC.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;620.6163330078125;645.0;0.06197313286154562;1.5111322341585205;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;Consumer Cyclical;Luxury Goods
SGO.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;83.83787536621094;86.95999908447266;0.4587608917036023;1.4323082609987126;Compagnie de Saint-Gobain S.A.;Industrials;Building Products & Equipment
SU.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;236.6497802734375;234.89999389648438;0.1625251391194952;-0.2843842743437041;Schneider Electric S.E.;Industrials;Specialty Industrial Machinery
SAN.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;89.785400390625;82.72000122070312;0.4283718543795054;-3.0266181443508517;Sanofi;Healthcare;Drug Manufacturers - General
CAP.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;154.58782958984375;142.25;0.24880055929102252;-3.069658902390452;Capgemini SE;Technology;Information Technology Services
VIV.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;2.572999954223633;2.365999937057495;14.948130254881267;-3.0942632193620847;Vivendi SE;Communication Services;Entertainment
RI.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;103.24869537353516;73.0999984741211;0.37251355402014036;-11.230798231076719;Pernod Ricard SA;Consumer Defensive;Beverages - Wineries & Distilleries
SW.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;74.96253967285156;43.70000076293945;0.5130767798074968;-16.040082792504275;Sodexo S.A.;Industrials;Specialty Business Services
WLN.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;8.477999687194824;1.562000036239624;4.5366289078343245;-31.37532394309546;Worldline SA;Technology;Software - Infrastructure
GLE.PA;0.2241379310344827;Ptf3;2024-12-31;1000.0;26.244787216186523;68.72000122070312;8.540283797623827;362.7503819633778;Société Générale Société anonyme;Financial Services;Banks - Regional
AC.PA;0.1793103448275862;Ptf3;2024-12-31;1000.0;45.772186279296875;48.220001220703125;3.917452046827173;9.589197652466051;Accor SA;Consumer Cyclical;Lodging
MC.PA;0.2137931034482758;Ptf3;2024-12-31;1000.0;620.6163330078125;645.0;0.34448513852693674;8.399810901598405;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;Consumer Cyclical;Luxury Goods
AI.PA;0.193103448275862;Ptf3;2024-12-31;1000.0;154.14547729492188;160.25999450683594;1.2527350893753635;7.659870265954361;L'Air Liquide S.A.;Basic Materials;Specialty Chemicals
SAN.PA;0.1896551724137931;Ptf3;2024-12-31;1000.0;89.785400390625;82.72000122070312;2.1123163853885987;-14.92435843593698;Sanofi;Healthcare;Drug Manufacturers - General
