ticker;Perf 2024;Perf 2025;Perf 3Y;name;industry;sector;country;currency;marketCap;Vol(3M);Vol(1Y);Vol(3Y)
JPM;0.5329639546902001;0.2159515921073154;1.3478839449042654;JPMorgan Chase & Co.;Banks - Diversified;Financial Services;United States;USD;838837927936;0.21958464976192904;0.2609142544389151;0.23758826505421293
KER.PA;-0.3775444048641253;0.30280029652694807;-0.3026253871736031;Kering SA;Luxury Goods;Consumer Cyclical;France;EUR;31795351552;0.3694051708488545;0.4164104481956656;0.35202882485882564
LLY;0.41623349963486156;0.24234328347968237;1.729942075835993;Eli Lilly and Company;Drug Manufacturers - General;Healthcare;United States;USD;936017395712;0.26915772270138083;0.40786388700594967;0.33755338247009775
LR.PA;0.020309768533181227;0.38098231838173424;0.8103338818597596;Legrand SA;Electrical Equipment & Parts;Industrials;France;EUR;35337469952;0.3290180138361178;0.296759680685063;0.2395167664458513
M;-0.06936663811873711;0.20949791358019731;0.1030292872168217;Macy's, Inc.;Department Stores;Consumer Cyclical;United States;USD;5634063360;0.3902133693358823;0.503687223044462;0.4812733406345407
MC.PA;-0.11729876621917756;0.039289438088121686;0.005489828621970894;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;Luxury Goods;Consumer Cyclical;France;EUR;264436580352;0.30980394645607834;0.3195061813880727;0.28711536627039114
META;0.7641571922360773;0.0018172868497929873;4.012638874725846;Meta Platforms, Inc.;Internet Content & Information;Communication Services;United States;USD;1786903265280;0.33325285788776843;0.3855936322579865;0.3533678235068372
ML.PA;0.01597122812228835;-0.07352943654900823;0.2296126651174928;Compagnie Générale des Établissements Michelin Société en commandite par actions;;;;EUR;22782867456;0.2650671115155153;0.23134957134762682;0.2030179004065533
MSFT;0.19977646147646744;0.023884576009125524;0.8738303691863469;Microsoft Corporation;Software - Infrastructure;Technology;United States;USD;3143788658688;0.1793824538034025;0.25053942060439655;0.23372296734906878
NVDA;1.881840033522625;0.23056999188462113;10.592962756343889;NVIDIA Corporation;Semiconductors;Technology;United States;USD;4519046938624;0.36065908371782746;0.4969516388325335;0.49121965455673106
OR.PA;-0.22976279076051742;0.09183275132241953;0.1520263495690959;L'Oréal S.A.;Household & Personal Products;Consumer Defensive;France;EUR;205079445504;0.2177103425088008;0.2443224922619667;0.22051873023288995
ORA.PA;0.001827883392899965;0.5599840039024275;0.8491280375002275;Orange S.A.;Telecom Services;Communication Services;France;EUR;42059046912;0.16173893756828847;0.16263981214580495;0.1530962591889862
RI.PA;-0.2889643036569782;-0.2920007540079951;-0.5507904494569558;Pernod Ricard SA;Beverages - Wineries & Distilleries;Consumer Defensive;France;EUR;18915522560;0.2396182675961223;0.2683247561116181;0.23503330270199824
SAN.PA;0.08769601025849294;-0.07869207175312232;0.03857645273194121;Sanofi;Drug Manufacturers - General;Healthcare;France;EUR;97419960320;0.17886421051661514;0.25540354608249477;0.24010221680421567
SGO.PA;0.3204290433881085;0.03724001478596661;1.0742686160169712;Compagnie de Saint-Gobain S.A.;Building Products & Equipment;Industrials;France;EUR;41767137280;0.2584540571986191;0.33214979267147665;0.27305707947580027
SU.PA;0.3450375015404672;-0.007393991132936373;0.8941600466427995;Schneider Electric S.E.;Specialty Industrial Machinery;Industrials;France;EUR;138840948736;0.23944678819995924;0.34830050021074865;0.27808661540202223
SW.PA;0.22120242232219356;-0.4170421526051118;-0.17141901984257257;Sodexo S.A.;Specialty Business Services;Industrials;France;EUR;6266046976;0.26221013253732006;0.2857401908065427;0.23315555100263716
T;0.5309688774418173;0.009654078160113988;0.44980470423214713;AT&T Inc.;Telecom Services;Communication Services;United States;USD;186452508672;0.19218113465814696;0.2287063171666472;0.23603474106212344
TCEHY;0.5077729634150985;0.2863732655963609;0.7698742669432894;Tencent Holdings Limited;Internet Content & Information;Communication Services;China;USD;688046145536;0.22922732222532932;0.3130887679493242;0.3432305481326366
TCTZF;0.5136356037126573;0.3313000640424313;0.7454878176400148;Tencent Holdings Limited;Internet Content & Information;Communication Services;China;USD;672078692352;0.2922347958057484;0.3859244782237291;0.3964704843349003
TSLA;0.726709028682365;-0.013526858919903462;2.31323407619172;Tesla, Inc.;Auto Manufacturers;Consumer Cyclical;United States;USD;1582813282304;0.45763937085396045;0.6299800886384446;0.5815963066351
TSM;1.046058374944582;0.38145389598148194;2.879238218903031;Taiwan Semiconductor Manufacturing Company Limited;Semiconductors;Technology;Taiwan;USD;1770465132544;0.35056179274125826;0.4075365076669288;0.37596424468220085
V;0.2995491023235479;-0.010006844959594141;0.5669391663178913;Visa Inc.;Credit Services;Financial Services;United States;USD;642048851968;0.18857605629041208;0.23563572006130962;0.19328366544028072
VIE.PA;-0.009499404392126043;0.14662819611562616;0.407279109447382;Veolia Environnement SA;Waste Management;Industrials;France;EUR;23284105216;0.15073872600906463;0.19709788598934613;0.18668672588547064
VIV.PA;-0.7271493195738208;-0.08045084370341438;-0.7205394640042868;Vivendi SE;Entertainment;Communication Services;France;EUR;2293545216;0.36030219232780625;0.32377684051463895;0.9301436283239551
WLN.PA;-0.45896620000528265;-0.8157584225204833;-0.9572406217236208;Worldline SA;Software - Infrastructure;Technology;France;EUR;371146432;0.7560143788113763;0.8367082190947539;0.8099753553286007
WMT;0.8485503098034739;0.10277196575048242;1.2188913434131998;Walmart Inc.;Discount Stores;Consumer Defensive;United States;USD;989111910400;0.23303114450973134;0.257453718388875;0.2046492223194262
XOM;0.1820792268477851;0.02736533751785797;0.09770544448977847;Exxon Mobil Corporation;Oil & Gas Integrated;Energy;United States;USD;583655686144;0.1703421384597758;0.24468312607736312;0.23419225394504758
^DJI;0.1992810969212182;0.0007493698518528102;0.315879436932591;Dow Jones Industrial Average;;;;USD;0;0.10995046107326682;0.18042586720506373;0.1471791802685734
^FCHI;-0.02153467604125281;0.10415754263299837;0.2588511614646265;CAC 40;;;;EUR;0;0.10945102344708713;0.1550528178167901;0.14037690173236872
^FTSE;0.10446456063919407;0.15517306457571078;0.3508457422251623;FTSE 100;;;;GBP;0;0.09540696835558722;0.13732108166652868;0.12221148287993855
^GSPC;0.31007465727214356;0.031002869775291764;0.6180078335258956;S&P 500;;;;USD;0;0.12453886068634422;0.20114602586984276;0.162637203217475
^IXIC;0.36672626896785787;0.06616810361503234;1.0152213892512583;NASDAQ Composite;;;;USD;0;0.17984431038113496;0.25257385283268374;0.20782137997170683
^RUT;0.16887624259985157;-0.014169160876578824;0.27883679800802064; Russell 2000 Index;;;;USD;0;0.20148441420184948;0.24032738482451374;0.21955542376689394
^VIX;0.4805783869685982;-0.23670206109207415;-0.373916308409894;CBOE Volatility Index;;;;USD;0;1.3009230528803426;1.3385999530157977;1.2009912928014121
